"Montenegro","Montenegro"
"Mónaco","Monaco"
"Noruega","Norway"
"Países Bajos","Netherlands"
"Polonia","Poland"
"Portugal","Portugal"
"Reino Unido","United Kingdom"
"Rumania","Romania"
"San Marino","San Marino"
"Serbia","Serbia"
"Suecia","Sweden"
"Suiza","Switzerland"
"Svalbard and Jan Mayen","Svalbard and Jan Mayen"
"Ucrania","Ukraine"
"Arabia Saudí","Saudi Arabia"
"Bahráin","Bahrain"
"Emiratos Árabes Unidos","United Arab Emirates"
"Iraq","Iraq"
"Israel","Israel"
"Jordania","Jordan"
"Kuwait","Kuwait"
"Líbano","Lebanon"
"Omán","Oman"
"Qatar","Qatar"
"Turquía","Turkey"
"Yemen","Yemen"
"Bermudas","Bermuda"
"Canadá","Canada"
"Estados Unidos","United States"
"Groenlandia","Greenland"
"México","Mexico"
"San Pedro y Miguelón","Saint Pierre and Miquelon"
"Australia","Australia"
"Fiyi","Fiji"
"Guam","Guam"
"Islas Cook","Cook Islands"
"Islas Marshall","Marshall Islands"
"Islas Salomón","Salomon Islands"
"Kiribati","Kiribati"
"Micronesia","Micronesia"
"Nauru","Nauru"
"Niue","Niue"
"Nueva Caledonia","New Caledonia"
"Nueva Zelanda","New Zealand"
"Palaos","Palau"
"Papúa Nueva Guinea","Papua New Guinea"
"Polinesia Francesa","French Polynesia"
"Samoa (oeste)","Western Samoa"
"Samoa americana","American Samoa"
"Tonga","Tonga"
"Tuvalu","Tuvalu"
"Vanuatu","Vanuatu"
"Wallis y Futuna","Wallis and Futuna"
"Brunéi","Brunei"
"Camboya","Cambodia"
"Filipinas","Philippines"
"Hong Kong","Hong Kong"
"Indonesia","Indonesia"
"Laos","Laos"
"Macao","Macau"
"Malasia","Malaysia"
"Singapur","Singapore"
"Tailandia","Thailand"
"Taiwán","Taiwan"
"Vietnam","Vietnam"
"Argentina","Argentina"
"Bolivia","Bolivia"
"Brasil","Brazil"
"Chile","Chile"
"Colombia","Colombia"
"Ecuador","Ecuador"
"Guayana Francesa","French Guiana"
"Guyana","Guyana"
"Islas Malvinas","Falkland Islands"
"Paraguay","Paraguay"
"Perú","Peru"
"Surinam","Suriname"
"Uruguay","Uruguay"
"Venezuela","Venezuela"
"Mandat/Chèque de banque","Postal order/cheque"
"Chèque personnel","Personal cheque"
"Visa ou MasterCard","Visa or MasterCard"
"American Express","American Express"
"Contre remboursement","Cash on delivery"
"Autre - Voir la description de l'objet","Other - See the subject description"
"Virement bancaire","Bank transfer"
"PayPal","PayPal"
"Virement bancaire accepté","Bank transfer accepted"
"14 jours","14 days"
"30 jours","30 days"
"60 jours","60 days"
"Retours acceptés","Returns accepted"
"Retours refusés","Returns refused"
"Acheteur","Buyer"
"Vendeur","Seller"
"Autres","Others"
"Autre livraison internationale standard","Other standard international delivery"
"Autre livraison internationale économique","Other economy international delivery"
"Contre remboursement","Cash on delivery"
"La Poste - Courrier International Prioritaire","La Poste - International Priority Mail"
"La Poste - Courrier International Economique","La Poste - International Economy Mail"
"La Poste - Colissimo International","La Poste - Colissimo International"
"La Poste - Colissimo Emballage International","La Poste - Colissimo Package International"
"La Poste - Colis Economique International","La Poste - International Economy Package"
"Livraison économique à partir de l'étranger","Economy Delivery from Abroad"
"Livraison standard à partir de l'étranger","Standard Delivery from Abroad"
"Livraison express à partir de l'étranger","Express Delivery from Abroad"
"Livraison à partir de l'étranger avec suivi de commande","Delivery from Abroad with Tracking"
"Livraison dans les DOM-TOM","Delivery in the FRENCH OVERSEAS DEPARTMENTS AND TERRITORIES"
"UPS Standard","UPS Standard"
"Economique","Economy"
"Autre mode d'envoi","Other shipment method"
"Lettre avec suivi","Letter with tracking"
"Lettre Max","Max Letter"
"Lettre verte/Ecopli","Green letter/Ecopli"
"Express","Express"
"Autre livraison en 24 h","Other delivery in 24 hrs."
"Chronopost","Chronopost"
"Chronopost Express International","Chronopost Express International"
"Express Shipping from outside","Express Shipping from outside"
"Autre livraison internationale express","Other express international delivery"
"Chronopost Classic International","Chronopost Classic International"
"DHL","DHL"
"UPS Express","UPS Express"
"Local Pickup","Local Pickup"
"Remise en mains propres","Hand delivery"
"None","None"
"Chrono 10","Chrono 10"
"Chrono 18","Chrono 18"
"Point Relais","Reception Centre"
"Chronopost - Chrono Relais","Chronopost - Chrono Reception"
"Livraison en Relais Mondial Relay","Reception Centre Delivery Global Relay"
"Livraison en Relais Kiala","Kiala Reception Centre Delivery"
"Promotional Services","Promotional Services"
"Standard","Standard"
"Autre livraison en 48 h","Other delivery in 48 hrs."
"Colissimo","Colissimo"
"Colissimo Recommandé","Registered Colissimo"
"Lettre prioritaire","Priority mail"
"Lettre recommandée","Registered mail"
"Monde entier","Worldwide"
"Australie","Australia"
"Amérique","America"
"Asie","Asia"
"Belgique","Belgium"
"Canada","Canada"
"Allemagne","Germany"
"Europe","Europe"
"Union européenne","European Union"
"Royaume-Uni","United Kingdom"
"Japon","Japan"
"Aucun lieu","No location"
"États-Unis","United States"
"Afrique","Africa"
"Asie","Asia"
"Amérique Centrale et Caraïbes","Central America and the Caribbean"
"Europe","Europe"
"Amérique du Nord","North America"
"Océanie","Oceania"
"Amérique du Sud","South America"
"Moyen-Orient","Middle East"
"Asie du Sud-Est","Southeast Asia"
"Boîte postale","Post Office Box"
"Afrique du Sud","Africa"
"Algérie","Algeria"
"Angola","Angola"
"Botswana","Botswana"
"Burkina Faso","Burkina Faso"
"Burundi","Burundi"
"Bénin","Benin"
"Cameroun","Cameroon"
"Comores","Comoros"
"Congo","Congo"
"Congo, République démocratique du","Congo, Democratic Republic of the"
"Côte d'Ivoire","Ivory Coast"
"Djibouti","Djibouti"
"Gabon","Gabon"
"Gambie","Gambia"
"Ghana","Ghana"
"Guinée","Guinea"
"Guinée Equatoriale","Equatorial Guinea"
"Guinée-Bissau","Guinea-Bissau"
"Kenya","Kenya"
"Lesotho","Lesotho"
"Liberia","Liberia"
"Libya","Libya"
"Madagascar","Madagascar"
"Malawi","Malawi"
"Mali","Mali"
"Maroc","Morocco"
"Maurice (île)","Mauritius"
"Mauritanie","Mauritania"
"Mayotte","Mayotte"
"Mozambique","Mozambique"
"Namibie","Namibia"
"Niger","Niger"
"Nigeria","Nigeria"
"Ouganda","Uganda"
"Rwanda","Rwanda"
"République centrafricaine","Central African Republic"
"Réunion","Reunion"
"Sahara-Occidental","Western Sahara"
"Sainte Hélène","Saint Helena"
"Seychelles","Seychelles"
"Sierra Leone","Sierra Leone"
"Somalie","Somalia"
"Souaziland","Swaziland"
"Sénégal","Senegal"
"Tanzanie","Tanzania"
"Tchad","Chad"
"Togo","Togo"
"Tunisie","Tunisia"
"Zambie","Zambia"
"Zimbabwe","Zimbabwe"
"Égypte","Egypt"
"Érythrée","Eritrea"
"Éthiopie","Ethiopia"
"Îles du Cap Vert","Cape Verde Islands"
"Afghanistan","Afghanistan"
"Arménie","Armenia"
"Bangladesh","Bangladesh"
"Bhoutan","Bhutan"
"Chine","China"
"Corée du Sud","South Korea"
"Géorgie","Georgia"
"Inde","India"
"Japon","Japan"
"Kazakhstan","Kazakhstan"
"Kirgizistan","Kyrgyzstan"
"Maldives (îles)","Maldives"
"Mongolie","Mongolia"
"Népal","Nepal"
"Ouzbékistan","Uzbekistan"
"Pakistan","Pakistan"
"République d'Azerbaïdjan","Azerbaijan"
"Sri Lanka","Sri Lanka"
"Tajikistan","Tajikistan"
"Turkménistan","Turkmenistan"
"Russie","Russia"
"Russie","Russia"
"Albanie","Albania"
"Allemagne","Germany"
"Andorre","Andorra"
"Autriche","Austria"
"Belgique","Belgium"
"Biélorussie","Belarus"
"Bosnie-Herzégovine","Bosnia-Herzegovina"
"Bulgarie","Bulgaria"
"Chypre","Cyprus"
"Croatie","Croatia"
"Danemark","Denmark"
"Espagne","Spain"
"Estonie","Estonia"
"Finlande","Finland"
"Gibraltar","Gibraltar"
"Grèce","Greece"
"Guernesey","Guernsey"
"Hongrie","Hungary"
"Irlande (Eire)","Ireland"
"Islande","Iceland"
"Italie","Italy"
"Jersey","Jersey"
"Lettonie","Latvia"
"Liechtenstein","Liechtenstein"
"Lituanie","Lithuania"
"Luxembourg","Luxembourg"
"Macédoine","Macedonia"
"Malte","Malta"
"Moldavie","Moldavia"
"Monaco","Monaco"
"Monténégro","Montenegro"
"Norvège","Norway"
"Pays-Bas","Netherlands"
"Pologne","Poland"
"Portugal","Portugal"
"Roumanie","Romania"
"Royaume-Uni","United Kingdom"
"République tchèque","Czech Republic"
"Saint Marin","San Marino"
"Serbie","Serbia"
"Slovaquie","Slovakia"
"Slovénie","Slovenia"
"Suisse","Switzerland"
"Suède","Sweden"
"Svalbard and Jan Mayen","Svalbard and Jan Mayen Island"
"Ukraine","Ukraine"
"Vatican","Vatican"
"Anguilla","Anguilla"
"Antigua-et-Barbuda","Antigua and Barbuda"
"Antilles néerlandaises","Netherland Antilles"
"Aruba","Aruba"
"Bahamas","Bahamas"
"Barbade (la)","Barbados"
"Belize","Belize"
"Costa Rica","Costa Rica"
"Dominique","Dominica"
"Grenade","Grenade"
"Guadeloupe","Guadeloupe"
"Guatemala","Guatemala"
"Haïti","Haiti"
"Honduras","Honduras"
"Jamaïque","Jamaica"
"Martinique","Martinique"
"Montserrat","Montserrat"
"Nicaragua","Nicaragua"
"Panama","Panama"
"Porto Rico","Puerto Rico"
"République dominicaine","Dominican Republic"
"Saint Kitts-Nevis","Saint Kitts and Nevis"
"Saint Vincent et Grenadines","Saint Vincent and the Grenadines"
"Sainte Lucie","Saint Lucia"
"Salvador","El Salvador"
"Trinité-et-Tobago","Trinidad and Tobago"
"Îles Cayman","Cayman Islands"
"Îles Turques et Caïques","Turks and Caicos Islands"
"Îles Vierges américaines","U.S. Virgin Islands"
"Îles Vierges britanniques","British Virgin Islands"
"Arabie Saoudite","Saudi Arabia"
"Bahreïn","Bahrain"
"Iraq","Iraq"
"Israël","Israel"
"Jordanie","Jordan"
"Koweït","Kuwait"
"Liban","Lebanon"
"Oman","Oman"
"Qatar","Qatar"
"Turquie","Turkey"
"Yémen","Yemen"
"Émirats arabes unis","United Arab Emirates"
"Bermudes","Bermuda"
"Canada","Canada"
"Groenland","Greenland"
"Mexique","Mexico"
"Saint Pierre et Miquelon","Saint Pierre and Miquelon"
"États-Unis","United States"
"Australie","Australia"
"Fidji","Fiji"
"Guam","Guam"
"Kiribati","Kiribati"
"Micronesia","Micronesia"
"Nauru","Nauru"
"Niue","Niue"
"Nouvelle Calédonie","New Caledonia"
"Nouvelle Zélande","New Zealand"
"Palau","Palau"
"Papouasie Nouvelle-Guinée","Papua New Guinea"
"Polynésie française","French Polynesia"
"Samoa américaines","American Samoa"
"Samoa occidentales","Independent State of Samoa"
"Tonga","Tonga"
"Tuvalu","Tuvalu"
"Vanuatu","Vanuatu"
"Wallis et Futuna","Wallis and Futuna"
"Îles Cook","Cook Islands"
"Îles Marshall","Marshall Islands"
"Îles Salomon","Solomon Islands"
"Brunei","Brunei"
"Cambodge","Cambodia"
"Hong Kong","Hong Kong"
"Indonésie","Indonesia"
"Laos","Laos"
"Macao","Macau"
"Malaisie","Malaysia"
"Philippines","Philippines"
"Singapour","Singapore"
"Taiwan","Taiwan"
"Thailande","Thailand"
"Vietnam","Vietnam"
"Argentine","Argentina"
"Bolivie","Bolivia"
"Brésil","Brazil"
"Chili","Chile"
"Colombie","Colombia"
"Guyane","Guyana"
"Guyane","Guyana"
"Paraguay","Paraguay"
"Pérou","Peru"
"Suriname","Suriname"
"Uruguay","Uruguay"
"Vénézuela","Venezuela"
"Équateur","Ecuador"
"Îles Falkland (Îles Malvinas)","Falkland Islands"
"Contrassegno","Cash on delivery"
"Altro - Vedi la descrizione dell'oggetto","Other - See item description"
"Infobonifico","Infobonifico"
"PayPal","PayPal"
"Bonifico bancario accettato","Bank transfer accepted"
"14 giorni","14 days"
"30 giorni","30 days"
"60 giorni","60 days"
"Restituzione accettata","Returns accepted"
"Restituzione non accettata","Returns not accepted"
"Acquirente","Buyer"
"Venditore","Seller"
"Altri Servizi","Other services"
"DHL Express International","DHL Express International"
"Spedizione internazionale economica","Economy international delivery"
"Spedizione economica dall’estero","Economy delivery from abroad"
"Spedizione standard dall’estero","Standard delivery from abroad"
"Spedizione espressa dall’estero","Express delivery from abroad"
"Spedizione tracciata dall’estero","Tracked delivery from abroad"
"Economica","Economy"
"Altro corriere 3-5 giorni","Other courier 3-5 days"
"Pacco Ordinario Estero","Standard foreign package"
"Pacco ordinario","Standard package"
"Posta assicurata","Insured mail"
"Posta Prioritaria Internazionale","International priority mail"
"Posta prioritaria","Priority mail"
"Posta raccomandata","Registered mail"
"Espressa","Express"
"Altro corriere 24hr","Other 24-hour courier"
"DHL Express","DHL Express"
"Paccocelere Internazionale","Paccocelere International"
"Posta Celere / Paccocelere 1","Posta Celere / Paccocelere 1"
"Expedited Services","Expedited Services"
"Spedizione internazionale espressa","Express international delivery"
"Local pickup","Local pickup"
"Ritiro in zona","Local collection"
"None","None"
"Promotional Services","Promotional Services"
"Standard","Standard"
"Altro corriere 48hr","Other 48-hour courier"
"Express Mail Service","Express Mail Service"
"IoInvio","IoInvio courier"
"Paccocelere 3","Paccocelere 3"
"Posta Assicurata Internazionale","International insured mail"
"Posta Raccomandata Internazionale","International registered mail"
"Spedizione internazionale standard","Standard international delivery"
"Tutto il mondo","Worldwide"
"Australia","Australia"
"America","America"
"Asia","Asia"
"Canada","Canada"
"Germania","Germany"
"Europa","Europe"
"Unione europea","European Union"
"Francia","France"
"Regno Unito","United Kingdom"
"Giappone","Japan"
"Luogo non specificato","Unspecified"
"Stati Uniti","United States"
"Africa","Africa"
"Asia","Asia"
"America centrale e Caraibi","Central America and Caribbean"
"Europa","Europe"
"Nord America","North America"
"Oceania","Oceania"
"Sud America","South America"
"Medio oriente","Middle East"
"Asia sud-orientale","Southeast Asia"
"PO Box","PO Box"
"Algeria","Algeria"
"Angola","Angola"
"Benin","Benin"
"Botswana","Botswana"
"Burkina Faso","Burkina Faso"
"Burundi","Burundi"
"Camerun","Cameroon"
"Ciad","Chad"
"Comoros","Comoros"
"Congo, Repubblica","Congo, Republic of the"
"Congo, Repubblica Democratica","Congo, Democratic Republic of the"
"Costa d'Avorio","Ivory Coast"
"Egitto","Egypt"
"Eritrea","Eritrea"
"Etiopia","Ethiopia"
"Gambia","Gambia"
"Ghana","Ghana"
"Gibuti","Djibouti"
"Guinea","Guinea"
"Guinea Equatoriale","Equatorial Guinea"
"Guinea-Bissau","Guinea-Bissau"
"Isole di Capo Verde","Cape Verde"
"Kenya","Kenya"
"Lesotho","Lesotho"
"Liberia","Liberia"
"Libya","Libya"
"Madagascar","Madagascar"
"Malawi","Malawi"
"Mali","Mali"
"Marocco","Morocco"
"Mauritania","Mauritania"
"Mauritius","Mauritius"
"Mayotte","Mayotte"
"Mozambico","Mozambique"
"Namibia","Namibia"
"Niger","Niger"
"Nigeria","Nigeria"
"Repubblica Centrafricana","Central African Republic"
"Repubblica di Gabon","Gabonese Republic"
"Reunion","Reunion"
"Ruanda","Rwanda"
"Sahara Occidentale","Western Sahara"
"Senegal","Senegal"
"Seychelles","Seychelles"
"Sierra Leone","Sierra Leone"
"Somalia","Somalia"
"St. Elena","Saint Helena"
"Sudafrica","South Africa"
"Swaziland","Swaziland"
"Tanzania","Tanzania"
"Togo","Togo"
"Tunisia","Tunisia"
"Uganda","Uganda"
"Zambia","Zambia"
"Zimbabwe","Zimbabwe"
"Afghanistan","Afghanistan"
"Armenia","Armenia"
"Bangladesh","Bangladesh"
"Bhutan","Bhutan"
"Cina","China"
"Corea del Sud","South Korea"
"Federazione Russa","Russian Federation"
"Georgia","Georgia"
"Giappone","Japan"
"India","India"
"Kazakistan","Kazakhstan"
"Kyrgyzstan","Kyrgyzstan"
"Maldive","Maldives"
"Mongolia","Mongolia"
"Nepal","Nepal"
"Pakistan","Pakistan"
"Repubblica dell'Azerbaijan","Azerbaijan, Republic of"
"Sri Lanka","Sri Lanka"
"Tajikistan","Tajikistan"
"Turkmenistan","Turkmenistan"
"Uzbekistan","Uzbekistan"
"Anguilla","Anguilla"
"Antigua e Barbuda","Antigua and Barbuda"
"Antille Olandesi","Netherlands Antilles"
"Aruba","Aruba"
"Bahamas","Bahamas"
"Barbados","Barbados"
"Belize","Belize"
"Costa Rica","Costa Rica"
"Dominica","Dominica"
"El Salvador","El Salvador"
"Giamaica","Jamaica"
"Grenada","Grenada"
"Guadalupe","Guadeloupe"
"Guatemala","Guatemala"
"Haiti","Haiti"
"Honduras","Honduras"
"Isole Cayman","Cayman Islands"
"Isole Turks e Caicos","Turks and Caicos"
"Isole Vergini (U.S.A.)","US Virgin Islands"
"Isole Vergini Britanniche","British Virgin Islands"
"Martinica","Martinique"
"Montserrat","Montserrat"
"Nicaragua","Nicaragua"
"Panama","Panama"
"Porto Rico","Puerto Rico"
"Repubblica Dominicana","Dominican Republic"
"San Vincenzo e Grenadine","Saint Vincent and the Grenadines"
"Santa Lucia","Saint Lucia"
"St. Kitts-Nevis","Saint Kitts and Nevis"
"Trinidad e Tobago","Trinidad and Tobago"
"Albania","Albania"
"Andorra","Andorra"
"Austria","Austria"
"Belgio","Belgium"
"Bielorussia","Belarus"
"Bosnia e Erzegovina","Bosnia and Herzegovina"
"Bulgaria","Bulgaria"
"Cipro","Cyprus"
"Città del Vaticano","Vatican City"
"Croazia, Repubblica","Croatia, Republic of"
"Danimarca","Denmark"
"Estonia","Estonia"
"Finlandia","Finland"
"Francia","France"
"Germania","Germany"
"Gibilterra","Gibraltar"
"Grecia","Greece"
"Guernsey","Guernsey"
"Irlanda","Ireland"
"Islanda","Iceland"
"Jersey","Jersey"
"Lettonia","Latvia"
"Liechtenstein","Liechtenstein"
"Lituania","Lithuania"
"Lussemburgo","Luxembourg"
"Macedonia","Macedonia"
"Malta","Malta"
"Moldova ","Moldova "
"Monaco","Monaco"
"Montenegro","Montenegro"
"Norvegia","Norway"
"Paesi Bassi","Netherlands"
"Polonia","Poland"
"Portogallo","Portugal"
"Regno Unito","United Kingdom"
"Repubblica Ceca","Czech Republic"
"Romania","Romania"
"San Marino","San Marino"
"Serbia","Serbia"
"Slovacchia","Slovakia"
"Slovenia","Slovenia"
"Spagna","Spain"
"Svalbard and Jan Mayen","Svalbard and Jan Mayen"
"Svezia","Sweden"
"Svizzera","Switzerland"
"Ucraina","Ukraine"
"Ungheria","Hungary"
"Arabia Saudita","Saudi Arabia"
"Bahrein","Bahrain"
"Emirati Arabi Uniti","United Arab Emirates"
"Giordania","Jordan"
"Iraq","Iraq"
"Israele","Israel"
"Kuwait","Kuwait"
"Libano","Lebanon"
"Oman","Oman"
"Qatar","Qatar"
"Turchia","Turkey"
"Yemen","Yemen"
"Bermuda","Bermuda"
"Canada","Canada"
"Groenlandia","Greenland"
"Messico","Mexico"
"St. Pierre e Miquelon","Saint Pierre and Miquelon"
"Stati Uniti","United States"
"Australia","Australia"
"Figi","Fiji"
"Guam","Guam"
"Isole Cook","Cook Islands"
"Isole Marshall","Marshall Islands"
"Isole Salomone","Salomon Islands"
"Kiribati","Kiribati"
"Micronesia","Micronesia"
"Nauru","Nauru"
"Niue","Niue"
"Nuova Caledonia","New Caledonia"
"Nuova Zelanda","New Zealand"
"Palau","Palau"
"Papuasia Nuova Guinea","Papua New Guinea"
"Polinesia Francese","French Polynesia"
"Samoa Americane","American Samoa"
"Samoa Occidentale","Western Samoa"
"Tonga","Tonga"
"Tuvalu","Tuvalu"
"Vanuatu","Vanuatu"
"Wallis e Futuna","Wallis and Futuna"
"Brunei Darussalam","Brunei"
"Cambogia","Cambodia"
"Filippine","Philippines"
"Hong Kong","Hong Kong"
"Indonesia","Indonesia"
"Laos","Laos"
"Macao","Macau"
"Malesia","Malaysia"
"Singapore","Singapore"
"Tailandia","Thailand"
"Taiwan","Taiwan"
"Vietnam","Vietnam"
"Argentina","Argentina"
"Bolivia","Bolivia"
"Brasile","Brazil"
"Cile","Chile"
"Colombia","Colombia"
"Ecuador","Ecuador"
"Guyana","Guyana"
"Guyana Francese","French Guiana"
"Isole Falkland (Islas Malvinas)","Falkland Islands (Islas Malvinas)"
"Paraguay","Paraguay"
"Perù","Peru"
"Suriname","Suriname"
"Uruguay","Uruguay"
"Venezuela","Venezuela"
"Cheque personal","Personal cheque"
"Visa o Master Card","Visa or MasterCard"
"American Express","American Express"
"Nachnahme","Cash on delivery"
"Sonstige / siehe Artikelbeschreibung","Other / See item description"
"Überweisung","Bank transfer"
"PayPal","PayPal"
"Kreditkarte akzeptiert","Credit card accepted"
"Barzahlung bei Abholung akzeptiert","Cash payment on collection accepted"
"14 Tage","14 days"
"1 Monat","1 month"
"Verbraucher haben das Recht, den Artikel unter den angegebenen Bedingungen zurückzugeben.","Consumers have the right to return the item under the specified conditions."
"Der Artikel kann nicht zurückgegeben werden","Item cannot be returned."
